        Spiketime[s]     corrSpiketime[s]                  ISI             instFreq
            0.750050             0.750050             0.554490             1.803459
            1.399120             1.399120             0.555490             1.800212
            2.045710             2.045710             0.561340             1.781452
            2.708540             2.708540             0.557780             1.792822
            3.381490             3.381490             0.550670             1.815970
            4.052020             4.052020             0.580680             1.722119
            4.720920             4.720920             0.553320             1.807272
            5.367030             5.367030             0.556430             1.797171
            6.032770             6.032770             0.569550             1.755772
            6.718640             6.718640             0.600400             1.665556
            7.361190             7.361190             0.544840             1.835401
            8.022900             8.022900             0.565730             1.767628
            8.693890             8.693890             0.546620             1.829424
            9.326880             9.326880             0.524190             1.907705
            9.975970             9.975970             0.557480             1.793786
           10.630010            10.630010             0.558450             1.790671
           11.286980            11.286980             0.566020             1.766722
           11.932300            11.932300             0.556340             1.797462
           12.581430            12.581430             0.550140             1.817719
           13.226350            13.226350             0.549360             1.820300
           13.880300            13.880300             0.559850             1.786193
           14.545280            14.545280             0.569830             1.754909
           15.211850            15.211850             0.556400             1.797268
           15.868680            15.868680             0.586170             1.705990
           16.512120            16.512120             0.548150             1.824318
           17.160640            17.160640             0.544400             1.836885
           17.797860            17.797860             0.530260             1.885867
           18.456230            18.456230             0.565840             1.767284
           19.112370            19.112370             0.560520             1.784058
           19.764310            19.764310             0.556600             1.796622
           20.409590            20.409590             0.526940             1.897749
           21.058820            21.058820             0.542100             1.844678
           21.711750            21.711750             0.563950             1.773207
           22.357820            22.357820             0.552700             1.809300
           23.004270            23.004270             0.539560             1.853362
           23.666280            23.666280             0.560740             1.783358
           24.303640            24.303640             0.540700             1.849454
           24.935550            24.935550             0.539390             1.853946
           25.577200            25.577200             0.540680             1.849523
           26.207580            26.207580             0.520060             1.922855
           26.855900            26.855900             0.555250             1.800991
           27.501120            27.501120             0.544950             1.835031
           28.151000            28.151000             0.545090             1.834559
           28.783880            28.783880             0.548200             1.824152
           29.433840            29.433840             0.550980             1.814948
           30.076600            30.076600             0.544960             1.834997
           30.720450            30.720450             0.540230             1.851063
           31.354390            31.354390             0.523870             1.908871
           31.990710            31.990710             0.541920             1.845291
           32.628090            32.628090             0.541610             1.846347
           33.297890            33.297890             0.581590             1.719424
           33.915360            33.915360             0.554300             1.804077
           34.562140            34.562140             0.541770             1.845802
           35.203580            35.203580             0.546060             1.831301
           35.851850            35.851850             0.526390             1.899732
           36.481090            36.481090             0.525250             1.903855
           37.127500            37.127500             0.553420             1.806946
           37.766410            37.766410             0.540620             1.849728
           38.405570            38.405570             0.546880             1.828555
           39.060980            39.060980             0.555100             1.801477
           39.699730            39.699730             0.547630             1.826050
           40.350660            40.350660             0.539560             1.853362
           40.996530            40.996530             0.535890             1.866055
           41.643620            41.643620             0.530560             1.884801
           42.278970            42.278970             0.547720             1.825750
           42.927370            42.927370             0.539210             1.854565
           43.588180            43.588180             0.532040             1.879558
           44.236910            44.236910             0.535490             1.867449
           44.884540            44.884540             0.561660             1.780437
           45.522730            45.522730             0.550310             1.817158
           46.162280            46.162280             0.544220             1.837492
           46.685620            46.685620             0.410380             2.436766
           47.433460            47.433460             0.526550             1.899155
           48.070480            48.070480             0.534360             1.871398
           48.709310            48.709310             0.545350             1.833685
           49.350450            49.350450             0.545840             1.832039
           49.998410            49.998410             0.555590             1.799888
           50.634740            50.634740             0.539610             1.853190
           51.279080            51.279080             0.540270             1.850926
           51.900220            51.900220             0.495390             2.018612
           52.532290            52.532290             0.521430             1.917803
           53.158000            53.158000             0.521030             1.919275
           53.840830            53.840830             0.570250             1.753617
           54.627470            54.627470             0.687200             1.455180
           55.385940            55.385940             0.653940             1.529192
           56.138070            56.138070             0.625630             1.598389
           56.876970            56.876970             0.603680             1.656507
           57.608220            57.608220             0.607530             1.646009
           58.305360            58.305360             0.550870             1.815310
           59.007010            59.007010             0.585040             1.709285
           59.670260            59.670260             0.539760             1.852675

MEANS:
           32.630956            32.630956             0.076339           131.109387

STANDARD DEVIATIONS:
           15.529101            15.529101             0.174886           140.176812
