        Spiketime[s]     corrSpiketime[s]                  ISI             instFreq
            0.100240             0.100240             0.007510           133.155792
            0.113970             0.113970             0.013730            72.833212
            0.116650             0.116650             0.002680           373.134328
            0.132590             0.132590             0.015940            62.735257
            0.138610             0.138610             0.006020           166.112957
            0.154850             0.154850             0.016240            61.576355
            0.160960             0.160960             0.006110           163.666121
            0.175840             0.175840             0.014880            67.204301
            0.195560             0.195560             0.019720            50.709939
            0.753950             0.753950             0.003900           256.410256
            0.768690             0.768690             0.014740            67.842605
            0.770470             0.770470             0.001780           561.797753
            0.788340             0.788340             0.017870            55.959709
            0.791790             0.791790             0.003450           289.855072
            0.810380             0.810380             0.018590            53.792361
            0.813330             0.813330             0.002950           338.983051
            0.838130             0.838130             0.024800            40.322581
            0.843630             0.843630             0.005500           181.818182
            1.402980             1.402980             0.003860           259.067358
            1.418930             1.418930             0.015950            62.695925
            1.437630             1.437630             0.018700            53.475936
            1.439710             1.439710             0.002080           480.769231
            1.457290             1.457290             0.017580            56.882821
            1.459220             1.459220             0.001930           518.134715
            1.475100             1.475100             0.015880            62.972292
            1.484370             1.484370             0.009270           107.874865
            2.053010             2.053010             0.007300           136.986301
            2.067030             2.067030             0.014020            71.326676
            2.070980             2.070980             0.003950           253.164557
            2.086200             2.086200             0.015220            65.703022
            2.092780             2.092780             0.006580           151.975684
            2.107050             2.107050             0.014270            70.077085
            2.113640             2.113640             0.006590           151.745068
            2.126010             2.126010             0.012370            80.840744
            2.150760             2.150760             0.024750            40.404040
            2.716430             2.716430             0.007890           126.742712
            2.729080             2.729080             0.012650            79.051383
            2.732930             2.732930             0.003850           259.740260
            2.746860             2.746860             0.013930            71.787509
            2.756620             2.756620             0.009760           102.459016
            2.768660             2.768660             0.012040            83.056478
            2.778020             2.778020             0.009360           106.837607
            2.788620             2.788620             0.010600            94.339623
            2.830820             2.830820             0.042200            23.696682
            3.386920             3.386920             0.005430           184.162063
            3.401240             3.401240             0.014320            69.832402
            3.402970             3.402970             0.001730           578.034682
            3.422010             3.422010             0.019040            52.521008
            3.424770             3.424770             0.002760           362.318841
            3.443740             3.443740             0.018970            52.714813
            3.468140             3.468140             0.024400            40.983607
            3.471340             3.471340             0.003200           312.500000
            4.060860             4.060860             0.008840           113.122172
            4.073810             4.073810             0.012950            77.220077
            4.078490             4.078490             0.004680           213.675214
            4.094030             4.094030             0.015540            64.350064
            4.102110             4.102110             0.008080           123.762376
            4.118660             4.118660             0.016550            60.422961
            4.124880             4.124880             0.006220           160.771704
            4.141940             4.141940             0.017060            58.616647
            4.167600             4.167600             0.025660            38.971161
            4.727620             4.727620             0.006700           149.253731
            4.740900             4.740900             0.013280            75.301205
            4.744670             4.744670             0.003770           265.251989
            4.760310             4.760310             0.015640            63.938619
            4.766970             4.766970             0.006660           150.150150
            4.783260             4.783260             0.016290            61.387354
            4.789190             4.789190             0.005930           168.634064
            4.810600             4.810600             0.021410            46.707146
            5.371570             5.371570             0.004540           220.264317
            5.387100             5.387100             0.015530            64.391500
            5.388620             5.388620             0.001520           657.894737
            5.410160             5.410160             0.021540            46.425255
            5.431790             5.431790             0.021630            46.232085
            5.460270             5.460270             0.028480            35.112360
            5.463220             5.463220             0.002950           338.983051
            6.039380             6.039380             0.006610           151.285930
            6.054400             6.054400             0.015020            66.577896
            6.057130             6.057130             0.002730           366.300366
            6.074180             6.074180             0.017050            58.651026
            6.080600             6.080600             0.006420           155.763240
            6.097130             6.097130             0.016530            60.496068
            6.105700             6.105700             0.008570           116.686114
            6.118240             6.118240             0.012540            79.744817
            6.724440             6.724440             0.005800           172.413793
            6.739740             6.739740             0.015300            65.359477
            6.743980             6.743980             0.004240           235.849057
            6.757590             6.757590             0.013610            73.475386
            6.763150             6.763150             0.005560           179.856115
            6.782480             6.782480             0.019330            51.733057
            6.789280             6.789280             0.006800           147.058824
            6.807010             6.807010             0.017730            56.401579
            6.816350             6.816350             0.009340           107.066381
            7.368730             7.368730             0.007540           132.625995
            7.383070             7.383070             0.014340            69.735007
            7.386550             7.386550             0.003480           287.356322
            7.404150             7.404150             0.017600            56.818182
            7.409730             7.409730             0.005580           179.211470
            7.426960             7.426960             0.017230            58.038305
            7.432190             7.432190             0.005230           191.204589
            7.457170             7.457170             0.024980            40.032026
            8.026380             8.026380             0.003480           287.356322
            8.044320             8.044320             0.017940            55.741360
            8.065310             8.065310             0.020990            47.641734
            8.067810             8.067810             0.002500           400.000000
            8.087740             8.087740             0.019930            50.175615
            8.089420             8.089420             0.001680           595.238095
            8.141110             8.141110             0.051690            19.346102
            8.147270             8.147270             0.006160           162.337662
            8.697910             8.697910             0.004020           248.756219
            8.712270             8.712270             0.014360            69.637883
            8.715450             8.715450             0.003180           314.465409
            8.732220             8.732220             0.016770            59.630292
            8.738270             8.738270             0.006050           165.289256
            8.754130             8.754130             0.015860            63.051702
            8.759430             8.759430             0.005300           188.679245
            8.777930             8.777930             0.018500            54.054054
            8.802690             8.802690             0.024760            40.387722
            9.334100             9.334100             0.007220           138.504155
            9.347600             9.347600             0.013500            74.074074
            9.351190             9.351190             0.003590           278.551532
            9.366010             9.366010             0.014820            67.476383
            9.373200             9.373200             0.007190           139.082058
            9.389020             9.389020             0.015820            63.211125
            9.394830             9.394830             0.005810           172.117040
            9.410420             9.410420             0.015590            64.143682
            9.418490             9.418490             0.008070           123.915737
            9.979270             9.979270             0.003300           303.030303
            9.995420             9.995420             0.016150            61.919505
            9.997110             9.997110             0.001690           591.715976
           10.014510            10.014510             0.017400            57.471264
           10.018620            10.018620             0.004110           243.309002
           10.035470            10.035470             0.016850            59.347181
           10.040510            10.040510             0.005040           198.412698
           10.056980            10.056980             0.016470            60.716454
           10.071560            10.071560             0.014580            68.587106
           10.634090            10.634090             0.004080           245.098039
           10.647910            10.647910             0.013820            72.358900
           10.651080            10.651080             0.003170           315.457413
           10.666350            10.666350             0.015270            65.487885
           10.673020            10.673020             0.006670           149.925037
           10.686800            10.686800             0.013780            72.568940
           10.693330            10.693330             0.006530           153.139357
           10.705730            10.705730             0.012400            80.645161
           10.720960            10.720960             0.015230            65.659882
           11.292720            11.292720             0.005740           174.216028
           11.306900            11.306900             0.014180            70.521862
           11.309470            11.309470             0.002570           389.105058
           11.326450            11.326450             0.016980            58.892815
           11.329960            11.329960             0.003510           284.900285
           11.348630            11.348630             0.018670            53.561864
           11.352440            11.352440             0.003810           262.467192
           11.371770            11.371770             0.019330            51.733057
           11.375960            11.375960             0.004190           238.663484
           11.938490            11.938490             0.006190           161.550889
           11.952890            11.952890             0.014400            69.444444
           11.956480            11.956480             0.003590           278.551532
           11.972220            11.972220             0.015740            63.532402
           11.979730            11.979730             0.007510           133.155792
           11.994700            11.994700             0.014970            66.800267
           12.000070            12.000070             0.005370           186.219739
           12.015660            12.015660             0.015590            64.143682
           12.031290            12.031290             0.015630            63.979527
           12.588400            12.588400             0.006970           143.472023
           12.602570            12.602570             0.014170            70.571630
           12.605680            12.605680             0.003110           321.543408
           12.622420            12.622420             0.016740            59.737157
           12.628140            12.628140             0.005720           174.825175
           12.645550            12.645550             0.017410            57.438254
           12.648790            12.648790             0.003240           308.641975
           12.668490            12.668490             0.019700            50.761421
           12.676990            12.676990             0.008500           117.647059
           13.231790            13.231790             0.005440           183.823529
           13.245150            13.245150             0.013360            74.850299
           13.247370            13.247370             0.002220           450.450450
           13.264850            13.264850             0.017480            57.208238
           13.268970            13.268970             0.004120           242.718447
           13.287220            13.287220             0.018250            54.794521
           13.291090            13.291090             0.003870           258.397933
           13.312390            13.312390             0.021300            46.948357
           13.320450            13.320450             0.008060           124.069479
           13.887090            13.887090             0.006790           147.275405
           13.900590            13.900590             0.013500            74.074074
           13.903240            13.903240             0.002650           377.358491
           13.920230            13.920230             0.016990            58.858152
           13.925170            13.925170             0.004940           202.429150
           13.942510            13.942510             0.017340            57.670127
           13.946230            13.946230             0.003720           268.817204
           13.965110            13.965110             0.018880            52.966102
           13.975450            13.975450             0.010340            96.711799
           14.551280            14.551280             0.006000           166.666667
           14.564290            14.564290             0.013010            76.863951
           14.568230            14.568230             0.003940           253.807107
           14.585730            14.585730             0.017500            57.142857
           14.590190            14.590190             0.004460           224.215247
           14.608290            14.608290             0.018100            55.248619
           14.612250            14.612250             0.003960           252.525253
           14.644370            14.644370             0.032120            31.133250
           14.655450            14.655450             0.011080            90.252708
           15.213480            15.213480             0.001630           613.496933
           15.231890            15.231890             0.018410            54.318305
           15.237610            15.237610             0.005720           174.825175
           15.257060            15.257060             0.019450            51.413882
           15.276560            15.276560             0.019500            51.282051
           15.282510            15.282510             0.005950           168.067227
           15.875020            15.875020             0.006340           157.728707
           15.889790            15.889790             0.014770            67.704807
           15.893230            15.893230             0.003440           290.697674
           15.908070            15.908070             0.014840            67.385445
           15.913090            15.913090             0.005020           199.203187
           15.933280            15.933280             0.020190            49.529470
           15.936020            15.936020             0.002740           364.963504
           15.955560            15.955560             0.019540            51.177073
           15.963970            15.963970             0.008410           118.906064
           16.522810            16.522810             0.010690            93.545370
           16.533450            16.533450             0.010640            93.984962
           16.539360            16.539360             0.005910           169.204738
           16.550570            16.550570             0.011210            89.206066
           16.561500            16.561500             0.010930            91.491308
           16.572380            16.572380             0.010880            91.911765
           16.582720            16.582720             0.010340            96.711799
           16.592170            16.592170             0.009450           105.820106
           16.616240            16.616240             0.024070            41.545492
           17.174330            17.174330             0.013690            73.046019
           17.185830            17.185830             0.011500            86.956522
           17.190210            17.190210             0.004380           228.310502
           17.204870            17.204870             0.014660            68.212824
           17.213540            17.213540             0.008670           115.340254
           17.226730            17.226730             0.013190            75.815011
           17.235340            17.235340             0.008610           116.144019
           17.247290            17.247290             0.011950            83.682008
           17.267600            17.267600             0.020310            49.236829
           17.804490            17.804490             0.006630           150.829563
           17.820520            17.820520             0.016030            62.383032
           17.837890            17.837890             0.017370            57.570524
           17.841000            17.841000             0.003110           321.543408
           17.858610            17.858610             0.017610            56.785917
           17.861440            17.861440             0.002830           353.356890
